loc,title,comp,services_notice,job_type,email,link,recruiter_notice,date_created,data_updated,id,job_desc
 (corte madera),Reflections IOP - Therapist (corte madera),Varies depending on experience/credentials,do NOT contact us with unsolicited services or offers,full-time,info@reflections.rehab,http://sfbay.craigslist.org//nby/hea/5268393659.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 5:43pm,2015-10-14 5:43pm,post id: 5268393659,"
Reflections seeks passionate and driven individuals to join our team of seasoned professionals in providing the highest level of care to those struggling with substance abuse and mental health issues at the Outpatient level. 

As a dual-diagnosis facility specializing in the treatment of co-occurring disorders and relapse prevention, Reflections carefully tailors individualized treatment plans for each of our unique clients. As a privately owned establishment, with a team experienced staff who have worked in numerous world-class facilities in the field, Reflections seeks to provide what others cannot. 

Reflections is seeking those passionate about changing lives and bringing healing to those in need. Reflections continues to add to our already rich program, and we look forward unique experience you can bring to us!

Minimum Qualifications:
MFT or equivalent
Experience in Recovery Field
Management Experience a plus

Hiring only top of the line team members, Reflections values the unique assets you have to offer, and looks forward to collaborating to provide the best-in-class treatment to our clients.

We look forward to hearing from you!

"
 (sebastopol),Housekeeping (sebastopol),will discuss during interview,do NOT contact us with unsolicited services or offers,full-time,dxvxj-5267994240@job.craigslist.org,http://sfbay.craigslist.org//nby/hea/5267994240.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 1:12pm,2015-10-14 1:12pm,post id: 5267994240,"
Looking for reliable, highly motivated person to fill full time housekeeping position. Please apply at Apple Valley Post-Acute Rehab, 1035 Gravenstein Hwy. So. Sebastopol, Ca. 95472.
"
 (fremont / union city / newark),OPEN HOUSE 10/15 - Medical Device Assemblers and Material Handlers!!! (fremont / union city / newark),11.00 - 13.00 Wage is DOE,do NOT contact us with unsolicited services or offers,contract,vgcgn-5268031291@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5268031291.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 1:33pm,2015-10-14 1:33pm,post id: 5268031291,"

"
 (santa rosa),RVT or Experienced Technician (santa rosa),DOE,do NOT contact us with unsolicited services or offers,full-time,r2zp3-5268002654@job.craigslist.org,http://sfbay.craigslist.org//nby/hea/5268002654.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 1:17pm,2015-10-14 1:17pm,post id: 5268002654,"
Larkfield Veterinary Hospital is looking for an Experienced RVT or skilled Technician to join our team. Upbeat personality is a plus! 

Please email us your resume
"
 (los gatos),Therapist Position in Busy Private Practice (los gatos),Based on experience,do NOT contact us with unsolicited services or offers,full-time,j8qv8-5268044068@job.craigslist.org,http://sfbay.craigslist.org//sby/hea/5268044068.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 1:40pm,2015-10-14 1:40pm,post id: 5268044068,"
TherapyWorks, a full service counseling center in Los Gatos, is seeking a qualified, energetic and committed therapist to join our fun and dynamic clinical team. Licensed and pre-licensed MFT's, LCSW's and PhD's with experience in couples therapy and substance abuse treatment preferred. The position requires afternoon/evening availability (2-3 days) as well as weekend availability. Hours may vary weekly depending on client case load. 

If you would enjoy working in a busy private practice with a great staff and wonderful diverse clients please email your cover letter and resume. For further details about the position requirements and for a complete job description, please visit our website at www.therapyworksoflosgatos.com/jobs 

In addition please provide answers to the following questions: 
(1) Why are you a strong candidate for this position?
(2) What is your familiarity or experience in the substance abuse field.
(3) Describe your favorite client and your theoretical approach
(4) How will contribute to the outreach and marketing efforts?
(5) What interests you in working with TherapyWorks?
(6) What are you career goals?
(7) What other job/internships do you currently have? 
(8) What is your weekly availability (days/hours)?
"
" (hercules, pinole, san pablo, el sob)","Nurse Practitioner (hercules, pinole, san pablo, el sob)",to be determined,do NOT contact us with unsolicited services or offers,part-time,kkcht-5268041168@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5268041168.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 1:38pm,2015-10-14 1:38pm,post id: 5268041168,"
Medical office is currently seeking a Family Nurse Practitioner to join our thriving practice in Pinole. Excellent work environment with wonderful patients. 
Part-time

Requirements:
• Graduate of an accredited NP program with national certification. 
• Possession of a valid unrestricted NP license issued by the State of California. 
• Federal Narcotic License for administration of narcotics to patients preferred.
• Possession of a valid California Drivers License. 

For consideration please fax your resume to (510)741-5584
"
" (San Mateo, Half Moon Bay, Moss Beach)","WANTED: Exceptional Caregivers and CNAs - $50 Signing Bonus & Benefits (San Mateo, Half Moon Bay, Moss Beach)","$50 Sign On Bonus, Flexible Schedules, Direct Deposit, Training, Support Line and more!",do NOT contact us with unsolicited services or offers,employee's choice,5txbk-5268064213@job.craigslist.org,http://sfbay.craigslist.org//pen/hea/5268064213.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 1:52pm,2015-10-14 1:52pm,post id: 5268064213,"




"
 (inner richmond),ENTRY LEVEL DENTAL ASSISTANT/STERILIZATION TECHNICIAN NEEDED (inner richmond),based on experience,do NOT contact us with unsolicited services or offers,full-time,nkdzp-5268015612@job.craigslist.org,http://sfbay.craigslist.org//sfc/hea/5268015612.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 1:24pm,2015-10-14 1:24pm,post id: 5268015612,"
Oral Surgery Team looking for an energetic, positive, organized, experienced, professional and enthusiastic Entry Level Dental Assistant/Sterilization Technician to join our team. 
The ""BEST"" candidate for this position will be skilled in prioritizing their duties, maintaining a steady flow thoughout the office, taking directions, and clearly communicating with patients and staff.
Must be able to work well and proactively within a team and have superior customer service skills. 
Must be a self-starter, have high integrity and high attention to details at all times. 

We are looking for a the right person to work FULL TIME

Our HOURS: Monday-Friday, 9am-6pm (including 1-2 Saturdays per month)
Benefits: Paid holidays, vacation, 401k, dental/medical insurance. wellness benefits and uniform allowance

***If you think you are the best candidate for this position, please forward your resume with cover letter, references and salary requirement***
"
,Dental Front Office/Treatment Coordinator (AZ DENTAL - San Jose),Based on experience,do NOT contact us with unsolicited services or offers,full-time,office@myazdental.com,http://sfbay.craigslist.org//sby/hea/5268079566.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 2:01pm,2015-10-14 2:01pm,post id: 5268079566,"
AZ Dental is looking for a Front Office/Treatment Coordinators
for their state of the art offices in San Jose and Sunnyvale. The qualified candidate will have:

-At least 1 year of ""fast paced"" dental office experience
-At least 1 year of recent functional experience with DENTRIX G4/G5/ENTERPRISE
-Ability to effectively present simple/complex treatment plans
-Ability to make financial arrangements with the patients 
-Ability to handle front office
-Ability to promote a brand new office
-Excellent oral and written communication skills (Spanish a BIG plus)
-Our schedule: Tue-Thu: 10AM-7PM Fri-Sat: 9AM-5PM CLOSED: Sun/Mon

We offer a competitive compensation package which includes the following benefits:

-World Class Benefits (Medical/Dental/Life Ins/Disability/Vision/401k)
-Paid Personal/Vacation Time
-Goal based Bonus
-Training courses
-Training courses with CE units, if applicable, available
-Career path to upper management in our future expansions

We believe that joining our team will provide the opportunity for you to
maximize your individual and professional potential.
Send resume and cover letter to office@myazdental.com
"
" (Santa Rosa, Napa)","Caregivers needed in Santa Rosa (Santa Rosa, Napa)",competitive wages,do NOT contact us with unsolicited services or offers,part-time,8z7bh-5268097486@job.craigslist.org,http://sfbay.craigslist.org//nby/hea/5268097486.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-14 2:11pm,2015-10-14 2:11pm,post id: 5268097486,"

At Senior Helpers we are a close knit team of caregivers who rely on each other to ensure our clients receive the highest quality of care. We only hire committed professional caregivers who love working with the elderly during all hours of the day and night. We do what we do because we want to make a positive impact on the lives of those we care for. We expect this same kind of passion from every team member. Only apply if you can live by our high standards of care and want to be challenged on a daily basis. PLEASE do not apply if your main purpose is to find any job that will get you by in the short term. If this is you, applying here will only be a waste of your time and ours. However, if your main purpose for applying is to find a career that will help satisfy your desire to serve others, we would love to hear from you!


 We offer care givers a competitive salary, 401K, FSA, Training, medical and prescription benefits, and many other benefits. Work close to home. Weekend work is also available.




















* Provide non-medical, in-home care for seniors

* Experience in Alzheimer's / Dementia Care

* Care Giving w/Activities of Daily Living including, dressing, grooming, bathing

* Meal preparation and light housekeeping

* Transportation to medical appointments, grocery shopping, etc.

* Providing companionship and activities to stimulate cognitive functions

* Medication reminders



* Patience, understanding, and love for the elderly

* Valid Driver's License with insurance

* Pass a background check, drug test and DMV check.

* Experience as a care giver, PCA, CNA, CMT, CMA a PLUS!

* Maintain a positive and professional image at all times

* Demonstrate sensitivity to client and family rights especially the confidentiality of client information


LGBT Friendly


If you are interested in caregiving as a rewarding and FUN career

Apply online at 


"
